model,song,condition,effect,level,sdr_wet,sdr_dry
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,reverb_l2,reverb,2,0.49711800756631924,0.5684774054770384
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,reverb_l3,reverb,3,1.5889902843691661,-0.3189871419470157
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,reverb_l3,reverb,3,0.15708845295513918,-0.009290927795562487
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,reverb_l4,reverb,4,1.5391555943934552,-0.5769436768009977
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,reverb_l4,reverb,4,0.1419678813880579,-0.09593469437693014
demucs,Bobby_Nobody_-_Stitch_Up,bitcrush_l1,bitcrush,1,9.165027956639461,5.797049446075244
spleeter,Bobby_Nobody_-_Stitch_Up,bitcrush_l1,bitcrush,1,6.574592188327916,4.844004566615155
demucs,Bobby_Nobody_-_Stitch_Up,bitcrush_l2,bitcrush,2,9.153631224284052,5.772831576834722
spleeter,Bobby_Nobody_-_Stitch_Up,bitcrush_l2,bitcrush,2,6.572354661464401,4.842086827525529
demucs,Bobby_Nobody_-_Stitch_Up,bitcrush_l3,bitcrush,3,9.105647764859281,5.775908116804716
spleeter,Bobby_Nobody_-_Stitch_Up,bitcrush_l3,bitcrush,3,6.567600747570664,4.846737888672872
demucs,Bobby_Nobody_-_Stitch_Up,bitcrush_l4,bitcrush,4,8.687487921602376,5.7274043634938065
spleeter,Bobby_Nobody_-_Stitch_Up,bitcrush_l4,bitcrush,4,6.311969601633518,4.805375535248388
demucs,Bobby_Nobody_-_Stitch_Up,compression_l1,compression,1,9.85767444297436,9.853022380310863
spleeter,Bobby_Nobody_-_Stitch_Up,compression_l1,compression,1,7.1064378087710365,7.234268348388117
demucs,Bobby_Nobody_-_Stitch_Up,compression_l2,compression,2,9.362658551506371,8.178464988497002
spleeter,Bobby_Nobody_-_Stitch_Up,compression_l2,compression,2,6.720496596983642,6.277686551729879
demucs,Bobby_Nobody_-_Stitch_Up,compression_l3,compression,3,9.110163425936848,6.886966098660342
spleeter,Bobby_Nobody_-_Stitch_Up,compression_l3,compression,3,6.521749391939153,5.348481364356857
demucs,Bobby_Nobody_-_Stitch_Up,compression_l4,compression,4,8.996807616308134,6.398779442014097
spleeter,Bobby_Nobody_-_Stitch_Up,compression_l4,compression,4,6.49025270342605,4.939779958806004
demucs,Bobby_Nobody_-_Stitch_Up,delay_l1,delay,1,9.058398829118753,6.683949555822501
spleeter,Bobby_Nobody_-_Stitch_Up,delay_l1,delay,1,6.870226803509252,5.163718233734434
demucs,Bobby_Nobody_-_Stitch_Up,delay_l2,delay,2,7.984937975895806,5.312912132257575
spleeter,Bobby_Nobody_-_Stitch_Up,delay_l2,delay,2,5.829996025919292,3.9727954665816556
demucs,Bobby_Nobody_-_Stitch_Up,delay_l3,delay,3,7.413101459855781,4.322449327816761
spleeter,Bobby_Nobody_-_Stitch_Up,delay_l3,delay,3,5.145771050811586,3.3090562513493356
demucs,Bobby_Nobody_-_Stitch_Up,delay_l4,delay,4,6.777531628479223,3.758219866035914
spleeter,Bobby_Nobody_-_Stitch_Up,delay_l4,delay,4,4.761492995723903,3.1227403339566253
demucs,Bobby_Nobody_-_Stitch_Up,original,original,0,10.047437987349284,10.047437987349284
spleeter,Bobby_Nobody_-_Stitch_Up,original,original,0,7.252967067911593,7.252967067911593
