model,song,pair,component,SI_SDR,SI_SAR_like,RMSE
demucs,Signe Jakobsen - What Have You Done To Me,drums,non_vocal,13.43354304191002,13.626189955516706,0.00856888280605583
demucs,Skelpolu - Resurrection,drums,non_vocal,16.007649761643027,16.115204732790765,0.03157978132517281
demucs,Speak Softly - Broken Man,drums,non_vocal,16.79178794736727,16.881758261082698,0.007561588332756213
demucs,Speak Softly - Like Horses,drums,non_vocal,12.359811136237674,12.604991951498432,0.009765180809700466
demucs,The Doppler Shift - Atrophy,drums,non_vocal,19.713272289897528,19.759419735536476,0.008390934037688287
demucs,The Easton Ellises (Baumi) - SDRNR,drums,non_vocal,14.286219004098156,14.445143899547546,0.059650610679893495
demucs,The Easton Ellises - Falcon 69,drums,non_vocal,16.12163619900283,16.226438314205332,0.013118195028055332
demucs,The Long Wait - Dark Horses,drums,non_vocal,16.913353140355987,17.00086482925158,0.0048741832289482725
demucs,The Mountaineering Club - Mallory,drums,non_vocal,21.56407880541655,21.594269009312477,0.0042884501266234705
demucs,The Sunshine Garcia Band - For I Am The Moon,drums,non_vocal,15.02930575057719,15.163619581673995,0.012167005298304598
demucs,Timboz - Pony,drums,non_vocal,13.071419735647517,13.280421682892285,0.009817748223128388
demucs,Tom McKenzie - Directions,drums,non_vocal,22.363492937678014,22.388622096648916,0.005826634748698247
demucs,Triviul feat. The Fiend - Widow,drums,non_vocal,11.261926400374945,11.575137400359523,0.010257140191533811
demucs,We Fell From The Sky - Not You,drums,non_vocal,20.85479868155919,20.89032310281173,0.006642969776893394
demucs,Zeno - Signs,drums,non_vocal,16.26745419679979,16.368835983620478,0.009292332628253868
demucs,AM Contra - Heart Peripheral,drums,vocals,15.03094803459362,15.16521186146668,0.009783008822291906
demucs,Al James - Schoolboy Facination,drums,vocals,9.278221297131225,9.762951698202487,0.022119183161889825
demucs,Angels In Amplifiers - I'm Alright,drums,vocals,16.37234847748364,16.471338305777834,0.009371785599972279
demucs,Arise - Run Run Run,drums,vocals,21.198116968525085,21.230951426936635,0.004667817963605094
demucs,BKS - Bulldozer,drums,vocals,9.827344251685117,10.257253811215598,0.006598329188904222
demucs,BKS - Too Much,drums,vocals,16.484827294356492,16.58131418375747,0.007596473508016862
demucs,Ben Carrigan - We'll Talk About It All Tonight,drums,vocals,12.208939935080176,12.462539576496475,0.007765169200283251
demucs,Bobby Nobody - Stitch Up,drums,vocals,16.427828466054574,16.525575802326884,0.0063014119831381376
demucs,Buitraker - Revo X,drums,vocals,10.565895342109918,10.931318053258732,0.010651673248877247
